,file,k_mean,k_median,m_2_mean,m_2_median,m_3_mean,m_3_median,frames
0,baltyk_koszalin_02.mp4,553.5494088973115,155.92088580883686,599.3919694055149,355.75711746879733,135.59332008409967,106.07006402949895,667
1,baltyk_koszalin_03_03.mp4,255.33451066380624,120.2416066506828,1203.1000021001419,1054.2536556394734,126.72817045366894,88.21281213619802,480
2,baltyk_koszalin_04_04.mp4,899.7765350785351,721.7409982098633,1038.8101397635505,917.5783103046487,215.65074382481333,139.02496287780917,419
3,baltyk_koszalin_05_06.mp4,336.5050668309627,110.71039928097609,436.47888822569485,494.50958973875265,129.96707643733558,65.30192573635927,461
4,baltyk_koszalin_06_07.mp4,800.9625566403164,256.5947663034209,575.8313081749168,129.68247671410546,157.67996756835464,119.1429507008289,300
5,baltyk_koszalin_07_09.mp4,459.0815637878954,150.59936876024275,594.7542640679915,305.0904423754862,344.26594015798395,284.0154539296162,660
6,baltyk_kotwica_1.mp4,272.0413088906679,268.50256905163445,197.12112184061394,202.02725957786092,111.48246938220954,71.18227903176133,175
7,baltyk_starogard_1.mp4,114.45415175437708,67.65258634623522,169.46369238996823,143.036970282487,200.43397283395518,124.0673074423352,728
8,WDA_Kotwica_01.mp4,1629.0172457259644,837.4496401733826,1286.3350374252514,350.0917814402037,975006.7653043389,1096.7931796890098,501
9,ENG_POL_01_09.mp4,1594.0641483341,409.2629394658208,2642.0751246947193,1134.9438451215692,2145.386523968913,620.9708192393205,758
10,BAR_SEV_01.mp4,2397.0283079226115,388.78047185354995,3109.181371899373,114.28504680161811,2653.953793911798,624.1899045114194,372
