,file,k_mean,k_median,m_2_mean,m_2_median,m_3_mean,m_3_median
0,baltyk_koszalin_02.mp4,0.973022507056136,0.9829888627825787,0.963412466588615,0.9656632353316815,0.9779322147665086,0.9784076197521732
1,baltyk_koszalin_03_03.mp4,0.9347777155984135,0.9681973869690179,0.899982554507634,0.8641551586428827,0.968294417436897,0.9673426659550884
2,baltyk_koszalin_04_04.mp4,0.9228797196047825,0.9291044038908609,0.8833659359595083,0.8659830746067182,0.9611933356192109,0.9595049112546461
3,baltyk_koszalin_05_06.mp4,0.9545176842893993,0.9567796006292583,0.9399853371152989,0.9378030048480775,0.969633688716961,0.9761788435383132
4,baltyk_koszalin_06_07.mp4,0.934977319557992,0.95092189123931,0.8929597203250687,0.9133920792616962,0.9396192490466194,0.9553752033166824
5,baltyk_koszalin_07_09.mp4,0.9646464248885344,0.9566810128256069,0.9529979248163732,0.949103964803254,0.9793547418435217,0.9775620163136994
6,baltyk_kotwica_1.mp4,0.9834678814955763,0.9836464956369784,0.9804140848789319,0.9812224575058662,0.9914694029295201,0.9922269656973868
7,baltyk_starogard_1.mp4,0.9899144517851027,0.9910971299478946,0.9853924549394423,0.9846837032712945,0.991849199109352,0.9933837753944122
8,WDA_Kotwica_01.mp4,0.9023597320699343,0.9154864483785055,0.9042412433212902,0.9156331010074354,0.8916732887002343,0.9078144549653223
9,ENG_POL_01_09.mp4,0.9217859182830738,0.9386891067368854,0.9048181398328086,0.923696922313636,0.9115754094581853,0.9215655607906004
10,BAR_SEV_01.mp4,0.9278121746712038,0.9426276598550258,0.9224561355857872,0.9708985145493552,0.9235564997687264,0.9357454285937041
