,name,keypoints,2_points,3_points
0,baltyk_koszalin_02.mp4,2.9803780221106435,3.6398250438303053,1.8814030942769588
1,baltyk_koszalin_03_03.mp4,2.0613320671173816,2.7689412039224166,1.0317965212990008
2,baltyk_koszalin_04_04.mp4,5.985705494793096,6.097958485065774,2.196123489463693
3,baltyk_koszalin_05_06.mp4,0.5291097164204771,0.8923971814839593,0.5804932688254455
4,baltyk_koszalin_06_07.mp4,2.6502308053866384,2.1839273557090406,1.8308436947382327
5,baltyk_koszalin_07_09.mp4,2.582522567750559,4.384450934562005,2.951818064407007
6,baltyk_kotwica_1.mp4,2.4666756241252266,1.720373905099283,1.0271445476751004
7,baltyk_starogard_1.mp4,1.1350479229426311,1.3407141771006064,0.8058452253657292
8,WDA_Kotwica_01.mp4,4.413337035366769,4.8320895839909355,4.040295928806906
9,ENG_POL_01_09.mp4,3.2534090419904156,3.557519770562643,2.7617933820724763
10,BAR_SEV_01.mp4,2.9930775723256415,3.2046815966003175,2.6314893095078524
